"id";"lang";"label"
"1";"Q258";"fr";"Afrique du Sud"
"2";"Q258";"fr";"République sud-africaine"
"3";"Q258";"fr";"République d’Afrique du Sud"
"4";"Q258";"fr";"république sud-africaine"
"5";"Q258";"fr";"république d’Afrique du Sud"
"6";"Q258";"de";"Südafrika"
"7";"Q258";"de";"Suedafrika"
"8";"Q258";"de";"Republik Südafrika"
"9";"Q258";"en";"South Africa"
"10";"Q258";"en";"Republic of South Africa"
"11";"Q258";"en";"RSA"
"12";"Q258";"en";"SA"
"13";"Q258";"en";"za"
"14";"Q258";"en";"🇿🇦"
"15";"Q258";"en";"zaf"
"16";"Q258";"tr";"Güney Afrika Cumhuriyeti"
"17";"Q258";"ar";"جنوب أفريقيا"
"18";"Q8908";"fr";"Conseil de l'Europe"
"19";"Q8908";"de";"Europarat"
"20";"Q8908";"en";"Council of Europe"
"21";"Q8908";"tr";"Avrupa Konseyi"
"22";"Q8908";"ar";"مجلس أوروبا"
"23";"Q314407";"fr";"Europe 1"
"24";"Q314407";"fr";"Europe n° 1"
"25";"Q314407";"fr";"Europe N°1"
"26";"Q314407";"fr";"Europe1"
"27";"Q314407";"fr";"Europe numéro 1"
"28";"Q314407";"de";"Europe 1"
"29";"Q314407";"en";"Europe 1"
"30";"Q314407";"tr";NA
"31";"Q314407";"ar";"أوروبا 1"
